"tamanho","peso","envergadura","especie"
42.59,732.7,57.24,"corniculata"
40,732.2,62.89,"corniculata"
44.5,734.4,47.55,"corniculata"
46.32,755.9,64.67,"corniculata"
42.52,741.2,53.95,"cirrhata"
48.25,804.8,57.16,"cirrhata"
36.74,568.8,57.9,"cirrhata"
31.46,390.8,59.12,"arctica"
31.3,262.7,51.22,"arctica"
30.73,365,60.91,"arctica"
34.74,481.7,51.45,"arctica"
47.29,1023.9,64.46,"cirrhata"
31.7,550.1,61.85,"cirrhata"
32.15,432.9,54.82,"corniculata"
36.21,860.4,48.78,"cirrhata"
47.15,930.8,53.92,"corniculata"
40.96,658.2,52.59,"corniculata"
29.52,308,44.07,"arctica"
41.59,745.7,63.16,"corniculata"
27.19,309,48.91,"arctica"
29.34,363.1,39.21,"arctica"
44.25,1002,69.3,"cirrhata"
36.52,612.5,54.55,"corniculata"
43.65,605.1,52.53,"corniculata"
41.15,801.6,64.42,"cirrhata"
49.4,625.3,62.2,"cirrhata"
32.17,463.1,64.79,"corniculata"
35.3,640.4,55.56,"corniculata"
29.68,433.9,48.12,"corniculata"
31.9,449.7,55.17,"arctica"
45.87,922.5,51.23,"cirrhata"
24.3,533,62.63,"cirrhata"
33.3,541.4,54.2,"corniculata"
39.28,525.8,61.11,"corniculata"
32.87,386.6,53.11,"arctica"
37.19,794.9,53.88,"cirrhata"
35.03,514.1,52.26,"corniculata"
41.36,762,57.78,"corniculata"
26.79,264.3,61.71,"arctica"
37.19,1036.7,51.94,"cirrhata"
29.07,293.5,49.5,"arctica"
33.12,518.4,64.97,"cirrhata"
36.96,596.1,46.62,"corniculata"
38.99,694.9,59.68,"corniculata"
38.16,689.9,52.45,"cirrhata"
31.14,425.5,66.31,"cirrhata"
22.35,186.1,50.88,"arctica"
34.49,315.1,45.84,"arctica"
41.19,695.9,67.71,"cirrhata"
27.03,354.1,59.43,"arctica"
28.5,648.6,53.82,"cirrhata"
46.97,910.8,66.43,"cirrhata"
33.83,423.1,58.02,"corniculata"
31.17,395,66.2,"corniculata"
40.41,652.4,62.1,"corniculata"
29.27,439.6,53.85,"corniculata"
27.59,372.3,72.94,"corniculata"
29.06,494.2,54.37,"cirrhata"
32.76,415,59.93,"arctica"
35.36,292.6,58.39,"arctica"
39.45,847.7,70.12,"cirrhata"
45.75,1152.8,54.86,"cirrhata"
32.28,282.3,60.68,"arctica"
30.48,175.6,56.07,"arctica"
31.79,465.3,59.43,"corniculata"
34.03,422.6,55.71,"corniculata"
32.57,688.5,65.48,"cirrhata"
46.5,820.4,48.9,"corniculata"
39.55,732.5,54.96,"corniculata"
43.04,662.6,69.25,"corniculata"
55.56,1497,62.72,"cirrhata"
37.47,828.9,80.37,"cirrhata"
28.49,671,63.1,"cirrhata"
37.34,728.4,56.91,"cirrhata"
41.65,879.5,68.9,"cirrhata"
46.73,1334.7,58.54,"cirrhata"
27.87,262.4,45.53,"arctica"
40.64,1136.2,50.03,"cirrhata"
43.94,808.2,63.76,"corniculata"
41.78,610.3,71.24,"cirrhata"
27.56,252.9,47.11,"cirrhata"
40.58,957.1,70.22,"cirrhata"
41.01,614.9,50.78,"corniculata"
35.96,638.1,50.88,"arctica"
41.95,890.1,53.6,"cirrhata"
40.31,647.3,57.4,"corniculata"
35.79,778.9,55.17,"cirrhata"
23.78,278,50,"corniculata"
38.69,1120.7,71.44,"cirrhata"
26.78,253.8,47.33,"arctica"
35.66,593.6,55.39,"cirrhata"
36.87,674.5,59.68,"cirrhata"
29.38,524.5,49.99,"arctica"
48.74,1232.7,58.85,"cirrhata"
42.62,787.3,62.52,"cirrhata"
38.07,679.2,66.88,"corniculata"
25.57,359.6,50.26,"arctica"
42.86,749.5,61.45,"corniculata"
40.48,713.4,57,"corniculata"
38.59,660.4,55.01,"cirrhata"
37.41,921.8,72.04,"cirrhata"
44.44,899.9,65.2,"cirrhata"
41.92,975.7,53.62,"cirrhata"
40.52,671.1,62.8,"corniculata"
27.59,677.9,54.88,"cirrhata"
30.11,364.8,49.35,"cirrhata"
33.44,423.3,61.06,"arctica"
35.47,1188.1,80.21,"cirrhata"
31.02,517.1,59.59,"cirrhata"
36.43,613.7,58.81,"corniculata"
36.84,488.4,67,"corniculata"
35.54,510.6,41.97,"arctica"
40.46,1122,48.32,"cirrhata"
38.9,708.8,61.64,"corniculata"
42.52,766.7,63.97,"corniculata"
27.39,534.1,54.91,"cirrhata"
37.92,577.7,69.95,"corniculata"
48.09,761.8,56.87,"corniculata"
42.35,887.8,59.93,"cirrhata"
37.82,667.3,68.55,"cirrhata"
42.65,628.9,57.33,"corniculata"
45.74,1148.2,78.95,"cirrhata"
42.93,859.6,68.38,"cirrhata"
50.28,1070.2,54.75,"corniculata"
45.64,1191.2,74.47,"cirrhata"
31.03,398.7,51.56,"arctica"
38.57,754.9,58.96,"corniculata"
32.94,510,66.48,"cirrhata"
29.22,435.1,69.68,"cirrhata"
36.63,506.4,55.42,"corniculata"
47.22,810.2,54.23,"corniculata"
41.31,968.4,72.62,"cirrhata"
41.41,690.5,69.07,"corniculata"
32.44,389.5,56.37,"cirrhata"
47.28,757.6,57.84,"corniculata"
38.04,724.1,55.49,"cirrhata"
31,345,57.45,"arctica"
31.4,347.7,51.43,"cirrhata"
28.52,306.7,49.09,"arctica"
39.67,616.2,48.03,"corniculata"
37.87,946.1,61.88,"cirrhata"
33.53,367.4,45.81,"arctica"
42.78,786.5,47.03,"corniculata"
43.31,752.8,63.48,"corniculata"
38.45,909,76.07,"cirrhata"
43.08,562.5,49.24,"corniculata"
42.88,635.1,59.57,"corniculata"
36.68,844.1,57.64,"cirrhata"
36.86,497.7,60.39,"corniculata"
28.46,213.1,52,"arctica"
29.8,542.8,54.16,"cirrhata"
33.02,491.2,41.84,"corniculata"
41.01,769.5,50.9,"corniculata"
44.73,995.6,63.8,"cirrhata"
41.69,902.1,69.81,"cirrhata"
38.29,686.7,46.96,"cirrhata"
34.87,285.4,47.85,"arctica"
37.56,572.8,65.15,"cirrhata"
42.73,847,59.2,"corniculata"
34.21,811.6,71.4,"cirrhata"
36.62,705.5,54.28,"cirrhata"
33.86,536,47.25,"arctica"
34.36,497.1,63.04,"corniculata"
30.27,420.6,57.7,"arctica"
51.05,995.6,56.24,"corniculata"
35.9,565,54.51,"corniculata"
36.26,480.1,61.14,"corniculata"
36.97,847.2,62.47,"cirrhata"
35.8,842.2,71.86,"cirrhata"
33.91,418.2,62.03,"arctica"
36.4,617.1,47.7,"corniculata"
35.34,550.9,54.43,"corniculata"
34.4,584.2,46.77,"arctica"
